book,bookLabel,authorLabel,genres,firstPublication,sco_uri
http://www.wikidata.org/entity/Q3799362,Intentions,Oscar Wilde,essay,1891-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wilde-intentions/
http://www.wikidata.org/entity/Q1810331,Lord Arthur Savile's Crime and Other Stories,Oscar Wilde,youth and children's literature,1891-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wilde-lord-arthur-saviles/
http://www.wikidata.org/entity/Q42186130,One of Our Conquerors,George Meredith,,1891-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/meredith-one-conquerors/
http://www.wikidata.org/entity/Q649409,Tess of the d'Urbervilles,Thomas Hardy,novel;tragedy,1891-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/hardy-tess-durbervilles/
http://www.wikidata.org/entity/Q1517178,The Light That Failed,Rudyard Kipling,novel,1891-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/kipling-light-failed/
http://www.wikidata.org/entity/Q4676497,Across the Plains,Robert Louis Stevenson,memoir;travel book,1892-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/stevenson-across-plains/
http://www.wikidata.org/entity/Q4129177,Degeneration,Max Nordau,,1892-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/nordau-degeneration/
http://www.wikidata.org/entity/Q208094,Peer Gynt,Henrik Ibsen,play,1867-11-14 00:00:00,https://shakespeareandco.princeton.edu/books/ibsen-peer-gynt/
http://www.wikidata.org/entity/Q641378,The Master Builder,Henrik Ibsen,drama,1892-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/ibsen-master-builder/
http://www.wikidata.org/entity/Q2277829,Catriona,Robert Louis Stevenson,historical novel;adventure novel,1893-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/stevenson-catriona/
http://www.wikidata.org/entity/Q4710615,Island Nights' Entertainments,Robert Louis Stevenson,,1893-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/stevenson-island-nights-entertainments/
http://www.wikidata.org/entity/Q3276774,Maggie: A Girl of the Streets,Stephen Crane,novella;novel,1893-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/crane-maggie-girl-streets/
http://www.wikidata.org/entity/Q19026203,Many Inventions,Rudyard Kipling,,,https://shakespeareandco.princeton.edu/books/kipling-many-inventions/
http://www.wikidata.org/entity/Q203585,A Woman of No Importance,Oscar Wilde,comedy,,https://shakespeareandco.princeton.edu/books/wilde-woman-importance/
http://www.wikidata.org/entity/Q5401319,Esther Waters,George Moore,novel,,https://shakespeareandco.princeton.edu/books/moore-esther-waters/
http://www.wikidata.org/entity/Q42190465,Glimpses of Unfamiliar Japan,Lafcadio Hearn,,1894-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/hearn-glimpses-unfamiliar-japan/
http://www.wikidata.org/entity/Q17010180,Milton's Prosody,Robert Bridges,,,https://shakespeareandco.princeton.edu/books/bridges-miltons-prosody/
http://www.wikidata.org/entity/Q1394704,The Great God Pan,Arthur Machen,horror novel;novella,1894-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/machen-great-god-pan/
http://www.wikidata.org/entity/Q189509,The Jungle Book,Rudyard Kipling,narration;didactic literature,1894-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/kipling-jungle-book/
http://www.wikidata.org/entity/Q760143,A Sportsman's Sketches,Ivan Turgenev,,1852-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/turgenev-sportsmans-sketches/
http://www.wikidata.org/entity/Q2404359,Almayer's Folly,Joseph Conrad,novel,1895-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/conrad-almayers-folly/
http://www.wikidata.org/entity/Q1248773,Jude the Obscure,Thomas Hardy,novel,1895-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/hardy-jude-obscure/
http://www.wikidata.org/entity/Q144547,On the Eve,Ivan Turgenev,novel,1860-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/turgenev-eve/
http://www.wikidata.org/entity/Q7713242,The Altar of the Dead,Henry James,short story,1895-05-15 00:00:00,https://shakespeareandco.princeton.edu/books/james-altar-dead/
http://www.wikidata.org/entity/Q16969050,The Gospel of Buddha,Paul Carus,,1894-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/carus-gospel-buddha/
http://www.wikidata.org/entity/Q1219239,The Red Badge of Courage,Stephen Crane,novel;historical fiction,1895-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/crane-red-badge-courage/
