uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated,id,exceptional_types,exceptional_counts,original_uri
anthropology,Anthropology,,,,,,,,,True,,,"Unidentified. Edward B. Tylor's *Anthropology* (1904), R. R. Marett's *Anthropology* (1911), or A. K. Kroeber's [*Anthropology*](https://shakespeareandco.princeton.edu/books/kroeber-anthropology/) (1923), etc.",2,2,0,1932;1925,2020-06-20T17:28:32+00:00,anthropology,,0,https://shakespeareandco.princeton.edu/books/anthropology/
anton-tchekov,Anton Tchekov,,,,,,,,,True,,,Unidentified. By or about Anton Chekov.,1,1,0,1939,2021-11-15T23:10:53.040729+00:00,anton-tchekov,,0,https://shakespeareandco.princeton.edu/books/anton-tchekov/
picked-company,A Picked Company,,,,,,,,,True,,,"Unidentified. Mary Hallock Foote's *A Picked Company: A Novel* (1912) or Hilaire Belloc's *A Picked Company: Being a Selection from the Writings of H. Belloc,* edited by E. V. Lucas (1915).",2,2,0,1920;1922,2021-11-17T13:24:38.323688+00:00,picked-company,,0,https://shakespeareandco.princeton.edu/books/picked-company/
apocrypha,Apocrypha,,,,,,,,,True,,,Unidentified.,1,1,0,1933,2020-06-03T02:52:59+00:00,apocrypha,,0,https://shakespeareandco.princeton.edu/books/apocrypha/
arcadia,Arcadia,,,,,,,,,True,,,Unidentified. Likely Philip Sidney's *The Countess of Pembroke's Arcadia.*,1,1,0,1925,2020-06-02T22:44:40+00:00,arcadia,,0,https://shakespeareandco.princeton.edu/books/arcadia/
argosy,Argosy,,,,,,,,Periodical,True,,Aug 1938,Unidentified edition. Either the American [*Argosy*](https://en.wikipedia.org/wiki/Argosy_(magazine)) or the British [*Argosy*](https://en.wikipedia.org/wiki/Argosy_(UK_magazine)).,2,0,2,1939,2021-11-15T23:11:06.521503+00:00,argosy,,0,https://shakespeareandco.princeton.edu/books/argosy/
ariel,Ariel,,,,,,,,,True,,,"Unidentified. Likely André Maurois's *Ariel: The Life of Shelley,* translated by Ella D'Arcy (1924).",4,3,1,1928;1937;1924;1925,2021-11-17T13:25:23.685833+00:00,ariel,,0,https://shakespeareandco.princeton.edu/books/ariel/
aristophanes,Aristophanes,,,,,,,,,True,,,Unidentified. By or about Aristophanes.,1,1,0,1937,2021-11-15T23:11:22.049469+00:00,aristophanes,,0,https://shakespeareandco.princeton.edu/books/aristophanes/
arnold-bennett,Arnold Bennett,,,,,,,,,True,,,Unidentified. By or about Arnold Bennett.,1,0,0,,2021-11-15T23:11:30.343071+00:00,arnold-bennett,,0,https://shakespeareandco.princeton.edu/books/arnold-bennett/
forster-room-view,A Room with a View,"Forster, E. M.",,,,,,,Book,False,https://archive.org/details/in.ernet.dli.2015.149349,,,16,16,0,1925;1926;1929;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942,2021-11-07T18:40:44.915679+00:00,forster-room-view,['overborrows'],[7],https://shakespeareandco.princeton.edu/books/forster-room-view/
artemus-ward,Artemus Ward,,,,,,,,,True,,,Unidentified. By or about Ward.,1,1,0,1938,2021-11-15T23:11:37.759813+00:00,artemus-ward,,0,https://shakespeareandco.princeton.edu/books/artemus-ward/
layamon-arthurian-chronicles,Arthurian Chronicles,"Wace, Robert;Layamon",,,,,,,Book,False,,,,1,1,0,1940,2020-04-30T19:40:20+00:00,layamon-arthurian-chronicles,,0,https://shakespeareandco.princeton.edu/books/layamon-arthurian-chronicles/
arthur-symons,Arthur Symons,,,,,,,,,True,,,Unidentified. By or about Arthur Symons.,1,1,0,1920,2021-11-15T23:11:44.320463+00:00,arthur-symons,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/arthur-symons/
