item_id,term,type,source
bronte-shirley,Women,subject,loc
ruskin-seven-lamps-architecture,Architecture,subject,loc
dickens-david-copperfield,Bildungsromans.,genre,loc
dickens-david-copperfield,Autobiographical fiction.,genre,loc
dickens-david-copperfield,Fiction,genre,loc
dickens-david-copperfield,Orphans,subject,loc
dickens-david-copperfield,Boys,subject,loc
dickens-david-copperfield,Child labor,subject,loc
dickens-david-copperfield,Young men,subject,loc
dickens-david-copperfield,Stepfathers,subject,loc
melville-white-jacket,Fiction,genre,loc
melville-white-jacket,Sea stories.,genre,loc
melville-white-jacket,Warships,subject,loc
melville-white-jacket,Sailors,subject,loc
melville-white-jacket,"History, Naval",subject,loc
melville-white-jacket,Naval discipline,subject,loc
melville-white-jacket,Flagellation,subject,loc
hawthorne-wonder-book-girls,Juvenile literature,genre,loc
hawthorne-wonder-book-girls,"Mythology, Classical",subject,loc
fitzgerald-euphranor-dialogue-youth,Education,subject,loc
fitzgerald-euphranor-dialogue-youth,Youth,subject,loc
melville-moby-dick-whale,Adventure stories.,genre,loc
melville-moby-dick-whale,Sea stories.,genre,loc
melville-moby-dick-whale,Fiction,genre,loc
melville-moby-dick-whale,Psychological fiction.,genre,loc
melville-moby-dick-whale,Mentally ill,subject,loc
melville-moby-dick-whale,Whales,subject,loc
melville-moby-dick-whale,Ship captains,subject,loc
melville-moby-dick-whale,Whaling ships,subject,loc
melville-moby-dick-whale,"Ahab, Captain (Fictitious character)",subject,loc
melville-moby-dick-whale,Whales in literature,subject,loc
melville-moby-dick-whale,Whaling,subject,loc
melville-moby-dick-whale,Whaling in literature,subject,loc
hawthorne-house-seven-gables,Domestic fiction.,genre,loc
hawthorne-house-seven-gables,Occult fiction.,genre,loc
hawthorne-house-seven-gables,bibliography,genre,loc
hawthorne-house-seven-gables,Historical fiction.,genre,loc
hawthorne-house-seven-gables,Haunted houses,subject,loc
hawthorne-house-seven-gables,Fiction,subject,loc
hawthorne-snow-image-twice,Social life and customs,subject,loc
hawthorne-snow-image-twice,"Historical fiction, American",subject,loc
ruskin-stones-venice,Art,subject,loc
ruskin-stones-venice,Architecture,subject,loc
thackeray-history-henry-esmond,History,subject,loc
manning-household-sir-thomas,Fiction,genre,loc
stowe-uncle-toms-cabin,Political fiction.,genre,loc
stowe-uncle-toms-cabin,Fiction,genre,loc
stowe-uncle-toms-cabin,African Americans,subject,loc
stowe-uncle-toms-cabin,Plantation life,subject,loc
stowe-uncle-toms-cabin,Slavery,subject,loc
dickens-bleak-house,bibliography,genre,loc
dickens-bleak-house,Domestic fiction.,genre,loc
dickens-bleak-house,Legal stories.,genre,loc
dickens-bleak-house,Guardian and ward,subject,loc
dickens-bleak-house,Illegitimate children,subject,loc
dickens-bleak-house,Fiction,subject,loc
dickens-bleak-house,Young women,subject,loc
gaskell-cranford,Pastoral fiction.,genre,loc
gaskell-cranford,Fiction,genre,loc
gaskell-cranford,Female friendship,subject,loc
gaskell-cranford,Older women,subject,loc
gaskell-cranford,Sisters,subject,loc
gaskell-cranford,Villages,subject,loc
hawthorne-tanglewood-tales,text,genre,loc
hawthorne-tanglewood-tales,"Mythology, Classical",subject,loc
thackeray-english-humorists-eighteenth,Biography,genre,loc
thackeray-english-humorists-eighteenth,English literature,subject,loc
thackeray-english-humorists-eighteenth,"Humorists, English",subject,loc
bronte-villette,Fiction,genre,loc
bronte-villette,Love stories.,genre,loc
bronte-villette,Autobiographical fiction.,genre,loc
bronte-villette,Women teachers,subject,loc
bronte-villette,British,subject,loc
dickens-hard-times,Domestic fiction.,genre,loc
dickens-hard-times,Satire.,genre,loc
dickens-hard-times,Fiction,genre,loc
dickens-hard-times,Political fiction.,genre,loc
dickens-hard-times,Education,subject,loc
