,id,type,counts
495,butler-vie-habitude,sunday_shopers,1
496,butler-way-flesh,overborrows,6
497,butts-armed-madness,overborrows,5
498,butts-ashe-rings,overborrows,2
499,butts-crystal-cabinet,overborrows,4
500,butts-last-stories,overborrows,1
501,butts-last-stories,unknown_borrows,1
502,butts-macedonian,overborrows,1
503,butts-several-occasions,overborrows,3
504,butts-traps-unbelievers,overborrows,1
505,byrne-hangmans-house,overborrows,1
506,byron,overborrows,1
507,byron-byrons-works,post1942_events,1
508,byron-byrons-works,unknown_borrows,1
509,byron-don-juan,overborrows,2
510,byron-lord-byrons-correspondence,overborrows,2
511,cabell-jurgen-comedy-justice,overborrows,2
512,cain-serenade,overborrows,1
513,calder-marshall-dead-centre,overborrows,1
514,calder-marshall-dead-centre,post1942_events,2
515,calder-marshall-dead-centre,unknown_borrows,1
516,calder-marshall-pie-sky,overborrows,6
517,calder-marshall-pie-sky,unknown_borrows,1
518,calder-marshall-way-santiago,overborrows,1
519,caldwell-american-people,overborrows,1
520,caldwell-dynasty-death,unknown_borrows,1
521,caldwell-eagles-gather,overborrows,1
522,caldwell-gods-little-acre,overborrows,4
523,caldwell-journeyman,overborrows,3
524,caldwell-living,overborrows,1
525,caldwell-seen-faces,overborrows,1
526,caldwell-southways-stories,overborrows,3
527,caldwell-tobacco-road,overborrows,1
528,callaghan-broken-journey,overborrows,1
529,callaghan-shall-inherit-earth,overborrows,1
530,calmer-proletarian-literature-united,overborrows,2
531,calmer-proletarian-literature-united,post1942_events,1
532,calmer-proletarian-literature-united,unknown_borrows,1
533,canby-saturday-review-literature,overborrows,1
534,canby-saturday-review-literature,unknown_borrows,9
535,cannan-house-prophecy,overborrows,1
536,cannan-stucco-house,overborrows,1
537,capek-letters-england,post1942_events,1
538,carlyle-essays-goethe,overborrows,1
539,carlyle-letters-thomas-carlyle,overborrows,1
540,carlyle-love-letters-thomas,overborrows,1
541,carlyle-past-present,overborrows,1
542,carlyle-sartor-resartus,overborrows,1
543,carolino-english-spoke-jest,unknown_borrows,1
544,carr-death-five-boxes,overborrows,3
545,carr-death-five-boxes,sunday_shopers,1
546,carr-drop-death,overborrows,7
547,carr-drop-death,sunday_shopers,1
548,carr-judas-window,overborrows,4
549,carr-magic-lantern-murders,sunday_shopers,1
550,carr-problem-green-capsule,overborrows,4
551,carr-punch-judy-murders,overborrows,2
552,carr-reader-warned,overborrows,2
553,carr-romantic-exiles-nineteenth,overborrows,1
554,carr-wake-dead,overborrows,3
555,carr-walks-night,overborrows,1
556,carr-white-priory-murders,overborrows,1
557,carroll-alices-adventures-wonderland,overborrows,4
558,carroll-earth-turns,overborrows,2
559,carroll-earth-turns,post1942_events,1
560,carroll-hunting-snark,overborrows,1
561,carroll-life-letters-lewis,overborrows,2
562,carroll-life-letters-lewis,post1942_events,1
563,carroll-life-letters-lewis,unknown_borrows,1
564,carroll-looking-glass-alice,overborrows,1
565,carroll-looking-glass-alice,post1942_events,1
566,carroll-sylvie-bruno,overborrows,2
567,carswell-camomile,overborrows,2
568,carter-slow-death-geneva,overborrows,3
569,cassells-dictionary,overborrows,1
570,cassells-french-english,post1942_events,1
571,cassells-german-english,post1942_events,1
572,cassells-german-english,unknown_borrows,1
573,cather-antonia,overborrows,5
574,cather-antonia,post1942_events,1
575,cather-antonia,unknown_borrows,1
576,cather-death-comes-archbishop,overborrows,3
577,cather-lost-lady,overborrows,1
578,cather-lost-lady,sunday_shopers,1
579,cather-lucy-gayheart,overborrows,5
580,cather-one,overborrows,2
581,cather-one,unknown_borrows,1
582,cather-professors-house,overborrows,1
583,cather-shadows-rock,overborrows,2
584,cather-shadows-rock,post1942_events,1
585,cather-shadows-rock,unknown_borrows,1
586,cather-song-lark,overborrows,1
587,cather-youth-bright-medusa,overborrows,1
588,caudwell-perfect-alibi,overborrows,4
589,cazamian-revue-anglo-americaine,unknown_borrows,1
590,cecil-stricken-deer-life,overborrows,3
591,cecil-stricken-deer-life,unknown_borrows,1
592,cecil-young-melbourne-story,overborrows,1
593,certain-man,sunday_shopers,1
594,cervantes-don-quixote,overborrows,1
595,cervantes-history-don-quixote,overborrows,1
596,cestre-introduction-edwin-arlington,overborrows,1
597,ch-unclear,unknown_borrows,1
598,challenge,overborrows,1
599,chamberlin-private-character-queen,overborrows,1
600,chambers-h-lawrence-personal,overborrows,3
601,chambers-short-life-shakespeare,overborrows,2
602,chambers-william-shakespeare-study,overborrows,1
603,chang-china-crossroads-chinese,overborrows,2
604,channel-islands,post1942_events,1
605,channel-islands,unknown_borrows,1
606,chappell-shropshire-mary-webb,overborrows,1
607,charles-dickens,overborrows,1
608,charles-morgan,unknown_borrows,1
609,charlotte-bronte,overborrows,1
610,charteris-ace-knaves,overborrows,4
611,charteris-saint-new-york,overborrows,6
612,charteris-saint-thieves-picnic,overborrows,1
613,chaucer-complete-works-geoffrey-chaucer,overborrows,1
614,chaucer-complete-works-geoffrey-chaucer-2,overborrows,1
615,chaucer-poetical-works-geoffrey,overborrows,1
616,chaucer-students-chaucer-complete,overborrows,1
617,chekhov-black-monk,overborrows,2
618,chekhov-cherry-orchard,overborrows,3
